name,url,email,description,website,instagram,facebook,twitter,youtube,status,,,,,,,,,,,,,,,,,,
180 Degrees Consulting,https://terriercentral.bu.edu/organization/180-degrees-consulting,boston@180dc.org,"180 Degrees Consulting is the world's largest student-run consultancy, dedicated to helping nonprofits and social enterprises improve their services, expand their reach, and ultimately maximize their impact. We are a team of motivated, enterprising students from diverse academic backgrounds, united by our passion to make a difference. 180 DC associates not only gain practical experience and first-hand exposure to Boston's social enterprises but also receive professional training from major consulting firms. By connecting passionate individuals and fully equipping them to find effective and innovative solutions to real-world challenges, we develop a community of leaders and social-thinkers. For more information, sign up for our mailing list here or navigate to our website or Instagram: @180dcboston.",https://www.180degreesbostonu.com/,https://www.instagram.com/180dcboston/,https://www.facebook.com/180DCBU/,,,success,,,,,,,,,,,,,,,,,,
Healing Hearts for Hope,https://terriercentral.bu.edu/organization/3hclub,,"Our purpose is to engage in meaningful volunteer work, fundraising opportunities, and awareness activities to support those affected by cancer. We do this in conjunction with the Sunrise Association and the Lymphoma and Leukemia Society, who both share a common goal of improving the quality of life of those affected by cancer and their families. Often isolated from the normal activities of daily life, those with cancer and their families rarely have a chance to experience beyond the closed worlds of home, the hospital and doctor's offices. We aim to open more doors for these individuals, making it possible for them to enjoy exciting daily activities, grow meaningful friendships and participate in various opportunities.",,https://www.instagram.com/3h_bu/,,,,success,,,,,,,,,,,,,,,,,,
Sahelian Student Association,https://terriercentral.bu.edu/organization/54-3-47-570-3-550-470,sahelassocbu@gmail.com,"The Sahelian Student Association (SSA) at Boston University is dedicated to uniting Sahelian students and raising awareness about issues facing the Sahel region in Africa. Through events like Sudan Night, where we spotlight the ongoing conflict in Sudan, we strive to educate our community about social conflicts within the region. Our commitment to cultural celebration is evident in our diverse array of events, from a Cultural Hot-Takes event to a Waist-bead Making Night. These activities provide opportunities for members to learn about the rich traditions, languages, and customs of the Sahel region. SSA also acts as a bridge, fostering connections and friendships that transcend borders. We create a welcoming environment for Sahelian students and non-Sahelian students alike, by promoting a sense of belonging and support. Additionally, we partner with local nonprofits for community outreach, contributing to the wider African community in the Boston area.",https://sites.google.com/view/busahelianstudentassoc/home,,,,,success,,,,,,,,,,,,,,,,,,
Above the Haze: a Chi Alpha Campus Ministry,https://terriercentral.bu.edu/organization/above-the-haze-a-chi-alpha-campus-ministry,tomgriff@bu.edu,"ATH is a student organization devoted to exploring and responding to the claims and teachings of Jesus Christ. We are open to all students, and we hope to create an open environment where those outside the church can bring their questions and explore the life of Jesus. We believe that Jesus is central to our development and that the university experience is incomplete and pale without actively involving him in our lives. The Christian life can be summed up in four areas of growth: our heart, mind, will, and strength.",http://ath-bu.com,https://www.instagram.com/bu.abovethehaze/,http://facebook.com/abovethehaze.chialpha,,https://www.youtube.com/channel/UCy0xo278VGq9i0N7m29qExg,success,,,,,,,,,,,,,,,,,,
Accounting Association,https://terriercentral.bu.edu/organization/accounting-association,buaa@bu.edu,"Bridging the gap between the academic and professional worlds, the BU Accounting Association sponsors events that bring the industry to the classroom. Highlights include student internship panels, company information sessions, mock interviews, resume workshops, CPA Becker panels, office tours, and more.",https://linktr.ee/buaccountingassociation?fbclid=PAZXh0bgNhZW0CMTEAAaeZmx94CyTa1MPk7u2PuliY23Orrf6ovKhCRSZ5nhCk8HcXhiWYI60ltKPPDg_aem_yBHsiSMdXDovJMhUBaNJFQ,https://www.instagram.com/buaaccounting/,,,,success,,,,,,,,,,,,,,,,,,
AdClub,https://terriercentral.bu.edu/organization/adclub,buadclub@bu.edu,"Boston University's professional quality, student-driven advertising agency. We blend strategic insights, creative risks, and fresh perspectives to craft bold campaigns for our broad range of clients. Our agency fosters career development through hands-on learning and mentorship, preparing students to excel in advertising and beyond. Open to all, regardless of experience or major, we create real work with real results. Interested in joining? Check us out on our socials or email us today!",http://www.adclubbu.com,http://instagram.com/buadclub,http://facebook.com/buadclub,http://twitter.com/BUadclub,,success,,,,,,,,,,,,,,,,,,
Adopted and Multicultral Student Organization,https://terriercentral.bu.edu/organization/adoptedandmulticultralstudentalliance,amsa.bostonu@gmail.com,"The Adopted and Multicultural Student Alliance (AMSA) is a student-led community for adoptees, members of adoptive families, and anyone interested in learning about adoptive experiences and the multicultural identity that often accompanies. This community aims to connect members and provide opportunities for personal development and growth through discussions, social and cultural events, and giving back to the community. Originally founded as the International Adoptee Club in 2021, we have expanded our mission to reflect the diverse community that falls under the large umbrella of adoption, including domestic, international, interracial, foster care, or open adoption to name a few. Our mission is to create a welcoming community where members can connect, share experiences, and explore the adoptive identity. Through open discussions, social and cultural events, and community engagement, we aim to: Build community and connections Foster pride and comfort in the adoptive and multicultural identity Challenge stigmas surrounding adoption Provide guidance and give back to the adoptive community",,https://www.instagram.com/BU_IAC/,,,,success,,,,,,,,,,,,,,,,,,
African Students Organization,https://terriercentral.bu.edu/organization/african-students-organization,buaso@bu.edu,"Boston University's African Students Organization strives to create an inclusive, celebratory, and educational space to uplift African countries, cultures, and people. We serve as a cultural, social, political, and humanitarian support network for African students at BU.",,https://www.instagram.com/bu_aso/,https://www.facebook.com/aso.bu.94?fref=gs&__tn__=%2CdlC-R-R&eid=ARAwp-KOywndE0TOZhx40RPZZ4D5wSnIbsMePNspqGJnqONLK7Vbn4U-mfYbz5TSCa3lhH5U2SDc27T7&hc_ref=ARRr5rPNA64lFqXYr8QFLeMDJxpL4N9MDwpQ7R2rRyw19Jp9oqpxVI9Vho28Qvxk7i8&ref=nf_target&dti=2200539269&hc_location=group,http://twitter.com/bu_aso,,success,,,,,,,,,,,,,,,,,,
Afrithms,https://terriercentral.bu.edu/organization/afrithms,afrithms@bu.edu,"Afrithms proudly represents Boston University as its premier African dance troupe, celebrating a decade of captivating performances that fuse the rich rhythms and movements of diverse African cultures. Founded on a passion for cultural expression, Afrithms has not only entertained audiences but also competed and showcased their talent at numerous prestigious venues and events throughout the years. Their energetic performances have become a staple in the Greater Boston Area, leaving a lasting impression wherever they appear. At the heart of Afrithms' success is their commitment to self-expression and creativity. The majority of their choreography is original, crafted to reflect the latest trends in African dance and music. This dedication to innovation ensures that each performance is both authentic and dynamic, captivating audiences with its blend of tradition and contemporary flair. Beyond their performances, Afrithms serves as a cultural hub on campus, fostering a community where students from diverse backgrounds come together to explore and celebrate African and Caribbean heritage through dance. Their rehearsals and workshops not only hone dance skills but also promote cultural understanding and appreciation among participants.",,https://www.instagram.com/afrithms/,,,,success,,,,,,,,,,,,,,,,,,
Artificial Intelligence Society ,https://terriercentral.bu.edu/organization/aisociety,buais@bu.edu,"BUAIS is an interdisciplinary academic club that brings together students with a passion for exploring the vast realm of artificial intelligence (AI). The club is open to all Boston University students, regardless of their major or academic year. We aim to foster an inclusive, innovative, and intellectually stimulating environment that encourages members to engage in discussions, develop projects, and participate in events related to AI. The club's primary objective is to promote the understanding of AI, its potential applications across a range of disciplines, and its ethical, societal, and economic implications. BUAIS provides opportunities for students to gain hands-on experience with AI and machine learning technologies (with focus on Computer Vision and Natural Language Processing), foster connections with industry professionals and AI researchers, and actively contribute to a rapidly evolving field. Motivation for the club: The advent of AI has revolutionized our world, impacting a wide range of fields including healthcare, finance, transportation, entertainment, and many more. As AI continues to advance, so too does the demand for skilled professionals in this field. BUAIS aims to fill the gap between classroom learning and practical, real-world application of AI, equipping students with the necessary skills and knowledge to thrive in this emerging field. In addition, BUAIS will serve as a platform for students to discuss and debate the ethical, societal, and economic implications of AI, encouraging members to consider these important issues from diverse perspectives. We believe that this multifaceted understanding of AI is crucial in shaping future AI policies, systems, and applications.",buaisociety.com,https://www.instagram.com/buaisociety/,,,https://www.youtube.com/@BUAISociety,success,,,,,,,,,,,,,,,,,,
Arts & Literary Club,https://terriercentral.bu.edu/organization/alc,alitclub@bu.edu,"Serving as the official Boston University Arts &amp; Literary Club, the student organization publication aims to publish the creativity of students pursuing a degree at Boston University by intertwining art and literature into one space. Through a combination of visual and written pieces, ALC will represent the vibrant artistry bubbling throughout the BU community. The student organization encourages submissions ranging from poems and short stories to sketches and photographs. ALC hopes to act as a medium to reveal the collective yet unique creative talents of students at Boston University, and encourages submissions from any and all Boston University students. Read the magazine on our website!",https://bualc.com/,http://instagram.com/bu.alc,,,,success,,,,,,,,,,,,,,,,,,
The Alexander Hamilton Society,https://terriercentral.bu.edu/organization/alexander-hamilton-society,bostonuniversityahs@gmail.com,"The Alexander Hamilton Society (AHS) is a non-partisan, not-for-profit, national organization that seeks to identify, educate, and launch young men and women into foreign policy and national security careers imbued with the Hamiltonian perspective of strong and principled American leadership in global affairs. Grounded in a nationwide foundation of student-driven campus chapters, our network works to revitalize American foreign policy. Through the vehicle of informed debate, our campus programming is critical to the intellectual and professional development of a new generation of American leaders. We act as a bridge between promising student leaders to internships, graduate programs, and professional opportunities in the worlds of academia, business, finance, policymaking, politics, and journalism. While our focus is on the long term, our alumni have already achieved significant influence in their professional pursuits, rebuilding the ranks of talented citizens looking to serve their country over the course of their lives and careers.",,https://www.instagram.com/bostonuahs/,https://www.facebook.com/bostonuahs,,,success,,,,,,,,,,,,,,,,,,
Alianza Latina,https://terriercentral.bu.edu/organization/alianza-latina,AlianzaL@bu.edu,"Alianza Latina is Boston University's largest Latinx student organization and the Latine Student Union. We are dedicated to providing BU students with programming that fosters community and encourages students to learn more about Latinx culture and identity, regardless of their own race or ethnicity. We implement weekly cultural, social, and professional meetings as well as community service events both on and off campus.",https://www.alianzalatinabu.com/,https://www.instagram.com/alianzalatinabu/?hl=en,https://www.facebook.com/AlianzaLatinaBU/,,,success,,,,,,,,,,,,,,,,,,
