Club Name,Keywords
180 Degrees Consulting,Business
Healing Hearts for Hope,Healthcare; Community Service
Sahelian Student Association,African; Community Service; Environmental
Above the Haze: a Chi Alpha Campus Ministry,Christian; Environmental
Accounting Association,Business; Professional Development
AdClub,Professional Development
Adopted and Multicultral Student Organization,LGBTQ+
African Students Organization,Politics; African
Afrithms,Music; Dance; Theater; African; Caribbean
Artificial Intelligence Society ,Business; Technology; Environmental
Arts & Literary Club,Writing
The Alexander Hamilton Society,Business; Technology; Politics; Film & Media; Women-Focused; International
Alianza Latina,Technology; Latin American; Community Service
Allegrettos,Music; Dance; Christian
Allocations Board,General Interest
Association of Latino Professionals for America,Business; Film & Media; Latin American; Community Service; Professional Development
Alpha Chi Sigma,Science; Community Service; Greek Life
Alpha Epsilon Delta,Healthcare; Community Service
Alpha Epsilon Phi,Greek Life; Women-Focused
"Alpha Kappa Alpha Sorority, Inc.",Community Service; Greek Life; LGBTQ+
alpha Kappa Delta Phi,Community Service; Environmental; Greek Life; Women-Focused
Alpha Kappa Psi,Business; Greek Life; Professional Development
Alpha Phi,Community Service; Greek Life; Professional Development; Women-Focused
Alpha Phi Alpha,Greek Life
Alpha Phi Omega,Law; Community Service; Social Justice; Women-Focused; Food & Cooking
Alpha Delta Pi,Film & Media; Community Service; Team Sports; Greek Life; Women-Focused
Alzheimer's Buddies,General Interest
American Institute of Aeronautics & Astronautics,Professional Development
American Society of Biochemistry and Molecular Biology,Science; Film & Media; Community Service; Professional Development
American Society of Mechanical Engineers,Engineering; Politics; Community Service; Professional Development; International
American Studies Program Graduate Student Association (Graduate),Professional Development
Anime Club,Technology
Anthropology In The Works,General Interest
Alliance of Portuguese Speakers,General Interest
Arab Student Organization ,Middle Eastern
Archaeology Society,Environmental
"Arch?, Boston University's Student-Led Journal of Philosophy ",Writing
"Assisting Refugees through Initiative, Service & Education",Community Service
Armenian Students Association,Music; Dance; Food & Cooking
Art History Association,Politics; Professional Development
Art Club,Visual Arts; Environmental
Art for the Heart,Community Service
Arts Administration Student Association,Professional Development
Albanian Student Association ,Environmental
Asian American Christian Fellowship,Christian
Asian Baptist Student Koinonia,Christian; Greek Life
Asian Student Union,Law; Social Justice
Alpha Sigma Kappa - Women in Technical Studies,Environmental; Greek Life; Women-Focused
Astronomical Society,General Interest
Aural Fixation,Music; LGBTQ+
Autism Spectrum Awareness Association,General Interest
Baja - Society of Automotive Engineers,Business; Engineering
Dancesport Club,Dance; Film & Media; Environmental
Bangladeshi Students' Association,Dance; South Asian; Food & Cooking
Best Buddies,Film & Media; Team Sports
Boston University Bhangra,Dance; South Asian
Biology and Business Club,Business; Science; Environmental; Professional Development
Biomedical Engineering Society,Business; Science; Engineering; Healthcare
BIPOC Mental Health Collective,Healthcare; Mental Wellness
Black Business Student Association,Business; Technology; Professional Development
BlackBox: Boston University's Black Film Society,Film & Media; Professional Development
National Society of Black Women in Medicine,Healthcare; Women-Focused
Blockchain Club,General Interest
Board Games Club,Gaming
On Beat,Music; Environmental
BostonHacks,Environmental; Food & Cooking
Boston Political Review,Business; Healthcare; Politics; Film & Media; Writing; International
BosTones,Music
BU Student Organizations,General Interest
Arab Students in Business at BU,Business; Middle Eastern
"University Blood Initiative, BU Chapter",Healthcare
BPM,Technology; Music; East Asian
Beta Psi Omega,Science; Greek Life
Brazilian Association,Latin American
Breathe BU,Mental Wellness; Fitness
BridgeBU,Politics
Brothers United ,General Interest
Student Activities Office (SAO),General Interest
Campus Closet BU,General Interest
Himalayan Student Association,Film & Media; Food & Cooking
Naturally,General Interest
Nigerian Students Association,African; Social Justice; Environmental
Quiz Bowl Club,Environmental
Students for Israel at BU,Technology; Politics; Jewish; Women-Focused
American Civil Liberties Union at BU,Law; Politics; Community Service; Social Justice
Alternative Investments Group,Business; Professional Development
Undergraduate Architecture Association,Environmental
After School Newsletter,Film & Media; East Asian
Automotive Club,General Interest
Association for Women in Mathematics: Student Chapter,Film & Media; Social Justice; Women-Focused
Barbell Club,Environmental; Fitness
BU BassLine A-Capella,Music
Beatboxing at BU,General Interest
Burmese Student Association ,General Interest
Business Law Club,Business; Law; Environmental
CleanTech Club,Engineering; Environmental; International
College Republicans at Boston University,Politics
Graduate Chinese Students and Scholars Association - 47600,East Asian; Community Service
Data Science Association,Technology; Environmental; Professional Development
Community Gardens at BU,Environmental; Food & Cooking
Bug Club,Healthcare; Food & Cooking
Gliding &amp; Soaring at Boston University,Film & Media; Professional Development
Girls Who Code,Technology; Community Service; Professional Development
Hindu Cultural Association,Politics
In Achord,Music; LGBTQ+
Journal of History at Boston University,Writing
Journalists of Color,Film & Media; Social Justice; Professional Development
Latin American Student Association at Boston University,Latin American
Bulletproof Funk,Dance; Theater
Moot Court Organization,Law; Social Justice
Marketing Club,Business; Film & Media
Mars Rover Club,Technology; Engineering; Community Service
Ophthalmology/Optometry Society,Healthcare; Community Service
Prevent at BU,Healthcare; Mental Wellness; Community Service
Palestine Student Association at BU,General Interest
Urban Birding Club,General Interest
Real Estate Club,Business
Recreational Tennis Club,Individual Sports
South Asian Student Association,South Asian; Community Service
Sports Business Club,Business; Law; Film & Media; Professional Development
Songwriters Circle,Music; Theater; Environmental
Society For Biomaterials,General Interest
Business & Technology Club,Business; Technology; Engineering; Professional Development
Ski & Snowboard Club,General Interest
Skincare Club,Environmental; Professional Development
Trading Card Games Club,General Interest
Tech Talks,Technology; Professional Development
Undergraduate Engineering Society,Engineering; Social Justice; Professional Development; Food & Cooking
Undergraduate Women in Economics,Business; Social Justice; Women-Focused
Venture Group BU,Business; Film & Media; Women-Focused
Visual Journalists Association,Visual Arts; Professional Development
"Zeta Phi Beta Sorority, Incorporated ",Community Service; Greek Life
Campus Activities Board,Film & Media
Callbacks,Theater; Film & Media
CAS Student Government,Technology; Politics
Catholic Student Association,Christian; Community Service
CDS Student Government,Politics; Social Justice
Conscious Educators of Color,Law; Environmental
Center for Gender Sexuality and Activism,Social Justice
CFA Student Government,Politics; Visual Arts
CGS Student Government,Politics; Social Justice
Chabad Jewish Student Organization,Jewish
Chankaar,Dance; Theater; South Asian; Women-Focused
Cheer Team,Visual Arts; Team Sports; Women-Focused
Chemia,Science; Professional Development
Chess Club,Environmental
Chi Phi,Law; Social Justice; Greek Life
Chinese Students Association,East Asian
Choral Society,Music
Chordially Yours,Music; Theater; Women-Focused
Christians on Campus,General Interest
Circle K International,Community Service
Climbing Club,Outdoor
Club Colombia,Food & Cooking
Club Sports,Dance; Team Sports; Individual Sports; Women-Focused
College Democrats,Politics
American Cancer Society on Campus,General Interest
The College of Communication Student Government,Politics; Film & Media; Environmental; Professional Development
