Keyword,Count,Clubs
Business,54,180 Degrees Consulting; Accounting Association; Artificial Intelligence Society ; The Alexander Hamilton Society; Association of Latino Professionals for America; Alpha Kappa Psi; Baja - Society of Automotive Engineers; Biology and Business Club; Biomedical Engineering Society; Black Business Student Association...
Technology,31,Artificial Intelligence Society ; The Alexander Hamilton Society; Alianza Latina; Anime Club; Black Business Student Association; BPM; Students for Israel at BU; Data Science Association; Girls Who Code; Mars Rover Club...
Science,12,Alpha Chi Sigma; American Society of Biochemistry and Molecular Biology; Biology and Business Club; Biomedical Engineering Society; Beta Psi Omega; Chemia; F1Tenth Autonomous Racing Organization at Boston University; Mind and Brain Society; Society of Physics Students; SciBU: Journal of Undergraduate Science and Research...
Engineering,24,American Society of Mechanical Engineers; Baja - Society of Automotive Engineers; Biomedical Engineering Society; CleanTech Club; Mars Rover Club; Business & Technology Club; Undergraduate Engineering Society; Engineers Without Borders; F1Tenth Autonomous Racing Organization at Boston University; Global Engineering Brigade...
Healthcare,41,"Healing Hearts for Hope; Alpha Epsilon Delta; Biomedical Engineering Society; BIPOC Mental Health Collective; National Society of Black Women in Medicine; Boston Political Review; University Blood Initiative, BU Chapter; Bug Club; Ophthalmology/Optometry Society; Prevent at BU..."
Mental Wellness,14,BIPOC Mental Health Collective; Breathe BU; Prevent at BU; First Generation and/or Low Income Partnership; Her Campus Boston University; Let's Talk About It; Mind and Brain Society; NMDP; Nutrition and Dietetics Club; Omega Phi Alpha...
Law,24,Alpha Phi Omega; Asian Student Union; American Civil Liberties Union at BU; Business Law Club; Moot Court Organization; Sports Business Club; Conscious Educators of Color; Chi Phi; Delta Phi Epsilon International; Dheem: Indian Classical Arts Association...
Politics,35,African Students Organization; The Alexander Hamilton Society; American Society of Mechanical Engineers; Art History Association; Boston Political Review; BridgeBU; Students for Israel at BU; American Civil Liberties Union at BU; College Republicans at Boston University; Hindu Cultural Association...
Music,31,Afrithms; Allegrettos; Armenian Students Association; Aural Fixation; On Beat; BosTones; BPM; BU BassLine A-Capella; In Achord; Songwriters Circle...
Dance,29,Afrithms; Allegrettos; Armenian Students Association; Dancesport Club; Bangladeshi Students' Association; Boston University Bhangra; Bulletproof Funk; Chankaar; Club Sports; Dance Theatre Group...
Theater,28,Afrithms; Bulletproof Funk; Songwriters Circle; Callbacks; Chankaar; Chordially Yours; Dance Theatre Group; Dance Team; Edge Dance Company; ENG Student Government...
Visual Arts,12,Art Club; Visual Journalists Association; CFA Student Government; Cheer Team; FORGE Design Studios; INK Illustration Club; Kappa Alpha Theta; Off The Cuff Magazine; The Pinky Toe Paper; Spoon University...
Film & Media,48,The Alexander Hamilton Society; Association of Latino Professionals for America; Alpha Delta Pi; American Society of Biochemistry and Molecular Biology; Dancesport Club; Best Buddies; BlackBox: Boston University's Black Film Society; Boston Political Review; Himalayan Student Association; After School Newsletter...
Writing,20,"Arts & Literary Club; Arch?, Boston University's Student-Led Journal of Philosophy ; Boston Political Review; Journal of History at Boston University; Delta Sigma Pi; International Affairs Association; Italian Students Association; Korean Communication Association; Off The Cuff Magazine; The Pinky Toe Paper..."
African,8,Sahelian Student Association; African Students Organization; Afrithms; Nigerian Students Association; Eritrean and Ethiopian Students Association; Ghanaian Student Organization; North African Student Organization ; Students of East African Ancestry
Caribbean,2,Afrithms; Students of Caribbean Ancestry
East Asian,17,BPM; After School Newsletter; Graduate Chinese Students and Scholars Association - 47600; Chinese Students Association; Global Tea Club at Boston University; GroupIRean: Korean Diplomatic and Political Association; Hong Kong Student Association; Japanese Student Association; Korean Graduate Student Association; Korean Communication Association...
South Asian,9,Bangladeshi Students' Association; Boston University Bhangra; South Asian Student Association; Chankaar; Dheem: Indian Classical Arts Association; Fatakada; Organization of Pakistani Students; Students of Caribbean Ancestry; Suno
Southeast Asian,4,Filipino Student Association; Indonesian Student Association; Thai Student Association; Vietnamese Student Association
Latin American,11,Alianza Latina; Association of Latino Professionals for America; Brazilian Association; Latin American Student Association at Boston University; LatinasBU; Mexican Students Association; Puerto Rican Student Association; Sabor Latino; Society of Asian Scientists and Engineers; Society of Hispanic Professional Engineers...
Middle Eastern,5,Arab Student Organization ; Arab Students in Business at BU; Persian Students Association; Lebanese Club; Turkish Student Association
Christian,12,Above the Haze: a Chi Alpha Campus Ministry; Allegrettos; Asian American Christian Fellowship; Asian Baptist Student Koinonia; Catholic Student Association; Cru; Inner Strength Gospel Choir; Navigators Christian Fellowship; The Orthodox Christian Fellowship of BU; Reformed University Fellowship at Boston University...
Jewish,4,Students for Israel at BU; Chabad Jewish Student Organization; Hillel Students Organization; Jewish on Campus at Boston University
Muslim,1,Islamic Society
Buddhist,1,Zen Community
Community Service,78,"Healing Hearts for Hope; Sahelian Student Association; Alianza Latina; Association of Latino Professionals for America; Alpha Chi Sigma; Alpha Epsilon Delta; Alpha Kappa Alpha Sorority, Inc.; alpha Kappa Delta Phi; Alpha Phi; Alpha Phi Omega..."
Social Justice,31,Alpha Phi Omega; Asian Student Union; Nigerian Students Association; American Civil Liberties Union at BU; Association for Women in Mathematics: Student Chapter; Journalists of Color; Moot Court Organization; Undergraduate Engineering Society; Undergraduate Women in Economics; CDS Student Government...
Environmental,51,Sahelian Student Association; Above the Haze: a Chi Alpha Campus Ministry; Artificial Intelligence Society ; alpha Kappa Delta Phi; Archaeology Society; Art Club; Albanian Student Association ; Alpha Sigma Kappa - Women in Technical Studies; Dancesport Club; Biology and Business Club...
Team Sports,8,Alpha Delta Pi; Best Buddies; Cheer Team; Club Sports; Dance Team; Delta Sigma Pi; (Kasual)Kicks Soccer Club; Flag Football Club
Individual Sports,7,Recreational Tennis Club; Club Sports; Filipino Student Association; Running Club; Survivor: Boston University; The Boston Chapter of The Urban Garden Initiative; Women in Computer Science
Fitness,6,Breathe BU; Barbell Club; Girl Gains Boston University; Let's Talk About It; Running Club; Zen Community
Outdoor,1,Climbing Club
Greek Life,38,"Alpha Chi Sigma; Alpha Epsilon Phi; Alpha Kappa Alpha Sorority, Inc.; alpha Kappa Delta Phi; Alpha Kappa Psi; Alpha Phi; Alpha Phi Alpha; Alpha Delta Pi; Asian Baptist Student Koinonia; Alpha Sigma Kappa - Women in Technical Studies..."
Professional Development,73,Accounting Association; AdClub; Association of Latino Professionals for America; Alpha Kappa Psi; Alpha Phi; American Institute of Aeronautics & Astronautics; American Society of Biochemistry and Molecular Biology; American Society of Mechanical Engineers; American Studies Program Graduate Student Association (Graduate); Art History Association...
Women-Focused,44,The Alexander Hamilton Society; Alpha Epsilon Phi; alpha Kappa Delta Phi; Alpha Phi; Alpha Phi Omega; Alpha Delta Pi; Alpha Sigma Kappa - Women in Technical Studies; National Society of Black Women in Medicine; Students for Israel at BU; Association for Women in Mathematics: Student Chapter...
LGBTQ+,17,"Adopted and Multicultral Student Organization; Alpha Kappa Alpha Sorority, Inc.; Aural Fixation; In Achord; Etc. Choir; Jewish on Campus at Boston University; Kappa Sigma; Lambda Chi Alpha; Mexican Students Association; On Broadway..."
International,18,The Alexander Hamilton Society; American Society of Mechanical Engineers; Boston Political Review; CleanTech Club; FeelGood World; Global China Connection; Global Engineering Brigade; Global Medical Brigades; Global Tea Club at Boston University; GroupIRean: Korean Diplomatic and Political Association...
Gaming,3,Board Games Club; Gaming Club; Survivor: Boston University
Food & Cooking,24,Alpha Phi Omega; Armenian Students Association; Bangladeshi Students' Association; BostonHacks; Himalayan Student Association; Community Gardens at BU; Bug Club; Undergraduate Engineering Society; Club Colombia; Filipino Student Association...
