Club Name,Keywords,Keywords_with_Weights
180 Degrees Consulting,Business,Business (1.0)
Healing Hearts for Hope,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
Sahelian Student Association,African; Community Service; Environmental,African (0.3333); Community Service (0.3333); Environmental (0.3333)
Above the Haze: a Chi Alpha Campus Ministry,Christian; Environmental,Christian (0.5); Environmental (0.5)
Accounting Association,Business; Professional Development,Business (0.5); Professional Development (0.5)
AdClub,Professional Development,Professional Development (1.0)
Adopted and Multicultral Student Organization,LGBTQ+,LGBTQ+ (1.0)
African Students Organization,Politics; African,Politics (0.5); African (0.5)
Afrithms,Music; Dance; Theater; African; Caribbean,Music (0.2); Dance (0.2); Theater (0.2); African (0.2); Caribbean (0.2)
Artificial Intelligence Society ,Business; Technology; Environmental,Business (0.3333); Technology (0.3333); Environmental (0.3333)
Arts & Literary Club,Writing,Writing (1.0)
The Alexander Hamilton Society,Business; Technology; Politics; Film & Media; Women-Focused; International,Business (0.1667); Technology (0.1667); Politics (0.1667); Film & Media (0.1667); Women-Focused (0.1667); International (0.1667)
Alianza Latina,Technology; Latin American; Community Service,Technology (0.3333); Latin American (0.3333); Community Service (0.3333)
Allegrettos,Music; Dance; Christian,Music (0.3333); Dance (0.3333); Christian (0.3333)
Allocations Board,General Interest,General Interest (1.0)
Association of Latino Professionals for America,Business; Film & Media; Latin American; Community Service; Professional Development,Business (0.2); Film & Media (0.2); Latin American (0.2); Community Service (0.2); Professional Development (0.2)
Alpha Chi Sigma,Science; Community Service; Greek Life,Science (0.3333); Community Service (0.3333); Greek Life (0.3333)
Alpha Epsilon Delta,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
Alpha Epsilon Phi,Greek Life; Women-Focused,Greek Life (0.5); Women-Focused (0.5)
"Alpha Kappa Alpha Sorority, Inc.",Community Service; Greek Life; LGBTQ+,Community Service (0.3333); Greek Life (0.3333); LGBTQ+ (0.3333)
alpha Kappa Delta Phi,Community Service; Environmental; Greek Life; Women-Focused,Community Service (0.25); Environmental (0.25); Greek Life (0.25); Women-Focused (0.25)
Alpha Kappa Psi,Business; Greek Life; Professional Development,Business (0.3333); Greek Life (0.3333); Professional Development (0.3333)
Alpha Phi,Community Service; Greek Life; Professional Development; Women-Focused,Community Service (0.25); Greek Life (0.25); Professional Development (0.25); Women-Focused (0.25)
Alpha Phi Alpha,Greek Life,Greek Life (1.0)
Alpha Phi Omega,Law; Community Service; Social Justice; Women-Focused; Food & Cooking,Law (0.2); Community Service (0.2); Social Justice (0.2); Women-Focused (0.2); Food & Cooking (0.2)
Alpha Delta Pi,Film & Media; Community Service; Team Sports; Greek Life; Women-Focused,Film & Media (0.2); Community Service (0.2); Team Sports (0.2); Greek Life (0.2); Women-Focused (0.2)
Alzheimer's Buddies,General Interest,General Interest (1.0)
American Institute of Aeronautics & Astronautics,Professional Development,Professional Development (1.0)
American Society of Biochemistry and Molecular Biology,Science; Film & Media; Community Service; Professional Development,Science (0.25); Film & Media (0.25); Community Service (0.25); Professional Development (0.25)
American Society of Mechanical Engineers,Engineering; Politics; Community Service; Professional Development; International,Engineering (0.2); Politics (0.2); Community Service (0.2); Professional Development (0.2); International (0.2)
American Studies Program Graduate Student Association (Graduate),Professional Development,Professional Development (1.0)
Anime Club,Technology,Technology (1.0)
Anthropology In The Works,General Interest,General Interest (1.0)
Alliance of Portuguese Speakers,General Interest,General Interest (1.0)
Arab Student Organization ,Middle Eastern,Middle Eastern (1.0)
Archaeology Society,Environmental,Environmental (1.0)
"Arch?, Boston University's Student-Led Journal of Philosophy ",Writing,Writing (1.0)
"Assisting Refugees through Initiative, Service & Education",Community Service,Community Service (1.0)
Armenian Students Association,Music; Dance; Food & Cooking,Music (0.3333); Dance (0.3333); Food & Cooking (0.3333)
Art History Association,Politics; Professional Development,Politics (0.5); Professional Development (0.5)
Art Club,Visual Arts; Environmental,Visual Arts (0.5); Environmental (0.5)
Art for the Heart,Community Service,Community Service (1.0)
Arts Administration Student Association,Professional Development,Professional Development (1.0)
Albanian Student Association ,Environmental,Environmental (1.0)
Asian American Christian Fellowship,Christian,Christian (1.0)
Asian Baptist Student Koinonia,Christian; Greek Life,Christian (0.5); Greek Life (0.5)
Asian Student Union,Law; Social Justice,Law (0.5); Social Justice (0.5)
Alpha Sigma Kappa - Women in Technical Studies,Environmental; Greek Life; Women-Focused,Environmental (0.3333); Greek Life (0.3333); Women-Focused (0.3333)
Astronomical Society,General Interest,General Interest (1.0)
Aural Fixation,Music; LGBTQ+,Music (0.5); LGBTQ+ (0.5)
Autism Spectrum Awareness Association,General Interest,General Interest (1.0)
Baja - Society of Automotive Engineers,Business; Engineering,Business (0.5); Engineering (0.5)
Dancesport Club,Dance; Film & Media; Environmental,Dance (0.3333); Film & Media (0.3333); Environmental (0.3333)
Bangladeshi Students' Association,Dance; South Asian; Food & Cooking,Dance (0.3333); South Asian (0.3333); Food & Cooking (0.3333)
Best Buddies,Film & Media; Team Sports,Film & Media (0.5); Team Sports (0.5)
Boston University Bhangra,Dance; South Asian,Dance (0.5); South Asian (0.5)
Biology and Business Club,Business; Science; Environmental; Professional Development,Business (0.25); Science (0.25); Environmental (0.25); Professional Development (0.25)
Biomedical Engineering Society,Business; Science; Engineering; Healthcare,Business (0.25); Science (0.25); Engineering (0.25); Healthcare (0.25)
BIPOC Mental Health Collective,Healthcare; Mental Wellness,Healthcare (0.5); Mental Wellness (0.5)
Black Business Student Association,Business; Technology; Professional Development,Business (0.3333); Technology (0.3333); Professional Development (0.3333)
BlackBox: Boston University's Black Film Society,Film & Media; Professional Development,Film & Media (0.5); Professional Development (0.5)
National Society of Black Women in Medicine,Healthcare; Women-Focused,Healthcare (0.5); Women-Focused (0.5)
Blockchain Club,General Interest,General Interest (1.0)
Board Games Club,Gaming,Gaming (1.0)
On Beat,Music; Environmental,Music (0.5); Environmental (0.5)
BostonHacks,Environmental; Food & Cooking,Environmental (0.5); Food & Cooking (0.5)
Boston Political Review,Business; Healthcare; Politics; Film & Media; Writing; International,Business (0.1667); Healthcare (0.1667); Politics (0.1667); Film & Media (0.1667); Writing (0.1667); International (0.1667)
BosTones,Music,Music (1.0)
BU Student Organizations,General Interest,General Interest (1.0)
Arab Students in Business at BU,Business; Middle Eastern,Business (0.5); Middle Eastern (0.5)
"University Blood Initiative, BU Chapter",Healthcare,Healthcare (1.0)
BPM,Technology; Music; East Asian,Technology (0.3333); Music (0.3333); East Asian (0.3333)
Beta Psi Omega,Science; Greek Life,Science (0.5); Greek Life (0.5)
Brazilian Association,Latin American,Latin American (1.0)
Breathe BU,Mental Wellness; Fitness,Mental Wellness (0.5); Fitness (0.5)
BridgeBU,Politics,Politics (1.0)
